survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,alive,alone,embarked_Q,embarked_S,fare_normalized,age_normalized
0,3,0,22.0,1,0,7.25,Third,man,True,no,False,0,1,0.014151057562208049,0.2711736617240512
1,1,1,38.0,1,0,71.2833,First,woman,False,yes,False,0,0,0.13913573538264068,0.4722292033174164
1,3,1,26.0,0,0,7.925,Third,woman,False,yes,True,0,1,0.015468569817999833,0.32143754712239253
1,1,1,35.0,1,0,53.1,First,woman,False,yes,False,0,1,0.10364429745562033,0.4345312892686604
0,3,0,35.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.4345312892686604
0,3,0,28.0,0,0,8.4583,Third,man,True,no,True,1,0,0.01650950209357577,0.34656948982156316
0,1,0,54.0,0,0,51.8625,First,man,True,no,True,0,1,0.10122885832000206,0.6732847449107816
0,3,0,2.0,3,1,21.075,Third,child,False,no,False,0,1,0.04113566043083236,0.01985423473234481
1,3,1,27.0,0,2,11.1333,Third,woman,False,yes,False,0,1,0.021730754366528396,0.33400351847197784
1,2,1,14.0,1,0,30.0708,Second,child,False,yes,False,0,0,0.058694292654020104,0.17064589092736868
1,3,1,4.0,1,1,16.7,Third,child,False,yes,False,0,1,0.03259622914329302,0.04498617743151546
1,1,1,58.0,0,0,26.55,First,woman,False,yes,True,0,1,0.051822148727810165,0.723548630309123
0,3,0,20.0,0,0,8.05,Third,man,True,no,True,0,1,0.015712553569072387,0.24604171902488062
0,3,0,39.0,1,5,31.275,Third,man,True,no,False,0,1,0.06104473451835265,0.4847951746670017
0,3,1,14.0,0,0,7.8542,Third,child,False,no,True,0,1,0.015330377421392339,0.17064589092736868
1,2,1,55.0,0,0,16.0,Second,woman,False,yes,True,0,1,0.03122992013728673,0.685850716260367
0,3,0,2.0,4,1,29.125,Third,child,False,no,False,1,0,0.05684821399990475,0.01985423473234481
1,2,0,28.0,0,0,13.0,Second,man,True,yes,True,0,1,0.025374310111545468,0.34656948982156316
0,3,1,31.0,1,0,18.0,Third,woman,False,no,False,0,1,0.03513366015444757,0.38426740387031916
1,3,1,28.0,0,0,7.225,Third,woman,False,yes,True,0,0,0.014102260811993537,0.34656948982156316
0,2,0,35.0,0,0,26.0,Second,man,True,no,True,0,1,0.050748620223090936,0.4345312892686604
1,2,0,34.0,0,0,13.0,Second,man,True,yes,True,0,1,0.025374310111545468,0.4219653179190751
1,3,1,15.0,0,0,8.0292,Third,child,False,yes,True,1,0,0.015671954672893913,0.18321186227695402
1,1,0,28.0,0,0,35.5,First,man,True,yes,True,0,1,0.06929138530460494,0.34656948982156316
0,3,1,8.0,3,1,21.075,Third,child,False,no,False,0,1,0.04113566043083236,0.09525006282985675
1,3,1,38.0,1,5,31.3875,Third,woman,False,yes,False,0,1,0.06126431989431795,0.4722292033174164
0,3,0,28.0,0,0,7.225,Third,man,True,no,True,0,0,0.014102260811993537,0.34656948982156316
0,1,0,19.0,3,2,263.0,First,man,True,no,False,0,1,0.5133418122566507,0.2334757476752953
1,3,1,28.0,0,0,7.8792,Third,woman,False,yes,True,1,0,0.01537917417160685,0.34656948982156316
0,3,0,28.0,0,0,7.8958,Third,man,True,no,True,0,1,0.015411575213749286,0.34656948982156316
0,1,0,40.0,0,0,27.7208,First,man,True,no,True,0,0,0.05410739813385612,0.49736114601658704
1,1,1,28.0,1,0,146.5208,First,woman,False,yes,False,0,0,0.2859895551532101,0.34656948982156316
1,3,1,28.0,0,0,7.75,Third,woman,False,yes,True,1,0,0.015126992566498259,0.34656948982156316
0,2,0,66.0,0,0,10.5,Second,man,True,no,True,0,1,0.020494635090094415,0.8240764011058055
0,1,0,28.0,1,0,82.1708,First,man,True,no,False,0,0,0.16038672010106003,0.34656948982156316
